Product_name,Product ID,Review Text,Rating
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Osm camera,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Over All awesome,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good  Samsung Galaxy A14 5g  Dark Red 6 128   Display is nice  Charger not available for fast charging you have to spend ano 1 5k they gave C to C type cable overall fine model  _  ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Awesome,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Classy and minimal design is amazing Performance is also good  A good phone in this price range with latest interface upgrades ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very beautiful pic,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Product good colour just mind blowing very smooth,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best value for money,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best samsung,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,It is very nice phone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Battery percentage is good but charge was fast complete,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good product   nice,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Camera quality superb Battery performance average Design Performance ok ok,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Bad service by flipkart Their customer care told No return or refund policy for this  Phone looks good performance is nice Low quality camera used  This phone colud be better if display is Amoled ,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good quality,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best product battery better nyc disign best network superb display quality but charger not available this product,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good Looking   Nice Performance  Average Battery Duration Good Camera  ,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Excellent in photography display and battery Performance is mediocre enough for day to day usages ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,I orderd Samsung A14 light green varient Look wise phone is attractive Performance is also great  Big Display Average camera  Little heavy near to 203 gm weight ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Nice mobile everything thing is fine only minus is display if they gave Amoled display it will be really worth for this price,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Camera and battery not good,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Can t expect much from this phone The display is very bad in sunlight it s a big problem Thought the battery capacity is 5000 it depletes very fast when u are gaming Also this is not meant for Gaming i ocassionly play COD and it heats up like a Tawa Also very bulky phone Cameras are ok ok I have given this phone to my mom now for her to use As the charging time is too much ,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very Good product by Samsung,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,I love this phone  surprise for me is hhe camera and picture quality is good,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good phone  ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Phone heating minimum 15minutes used,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,It s ok in General use  ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,1 phone is good work better Ram change 2gb  4gb and 6gb Charging very slow approx 1 percent in 5 min with samsung charger,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,After use will give review,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best budget smartphone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,ok,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,It has heating issue but after software update its normal,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Super mobile phone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Everything is average Only brand name In the same money other brands are giving superior experience ,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Performance is not good enough to feel as upgrading Display is very worst ,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Awesome phone in this price Camera is totally good Thanks alot,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,I impression on a14 5g few issue but day to day life comfortable few improve performance,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good quality,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Value for money,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Not good cemra,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very much comfortable but price range is very much higher And has no case adapter,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Amazing super,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Nice phon camera quality good happy,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,So far so good   i dunno muc about the gadget techno thing  but i experienced some good vibes from the set  like the processor is smooth  camera quality is nice  sound is amazing too   amd battery backup   its good too withstanding a day on single charge  I think everything is covered so far  happy with the purchase  Just the delivery guy  ohhh how that person ruined my beautiful experience by his unapologetic behaviour   shameless fellow  But whatever  atleast t  READ MORE,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Camara best,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,its good to use camera is also good But don t have screen share facility in samsung phone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Superb,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Overall good under 10000,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good product value for money    etc,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good phone in this price Signal and picture quality of camera is good ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Nice phone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Nice phone,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best Budget Smartphone for parents or ideal use  Ratings as per specs  Design 4 5 Battery 4 5 UI 4 5 Features 4 5 Camera 4 5  As per my experience camera quality is quite impressive performance is a little concern for me as when the phone initially boots up I feel some lag hang for about 2 seconds but overall this phone meets expectations  I ve compared its camera with MOTO G64 one thing is sure that camera wise this phone is doing much better  This budget phone assures to perfor  READ MORE,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Stylish Design and Awesome Performance,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Automatically Hanging and Heavy Heating,2
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,This phone is very big just like use tablet so it s not a phone it s tablet and please don t take thi phone trow Flipkart because not support and return policy before purchasing show the small size pic but after show the real phone in m very disappointed it s money best phone please don t bay,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Product is not bad It is in satisfactory levels,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Cemera quality low charging time high and not expected compare to amount,2
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best phone samsung  all rounder phone samsung supper I lv it,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Brightness is a bit issue in sunlight,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Amazing,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best product,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good product value for money  good performance,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good phone as compare to price,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very very good  camera quality great ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,The ptoduct is very good Camera is also good buy this phone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good product,4
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,In this price range you can go for Vivo phones for better performance sometimes the touch screen is not working for seconds ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best phone under this price,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very nice  phone very good,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very nice product Amazing Performance,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Great phone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very good   looking with smart camera  advanced technology used  and user friendly  Samsung always best  as performance Thanks to flipkart for this tamely delivery  nice experience ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,GOOD,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,nice phone,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,I have bought this phone for my elder sister and my mom Quality of this phone is superb and all the things are good enough Thanks flipkart ,5
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,All thing is ok but company have to give charger also in this phone ,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Performance  Superb at this price point Battery  Drains fast and takes very long time to charge No fast charging support Display  Good at this price point Outdoor visibility satisfactory Speakers  Single speaker Loudness could have been better Network  Never faced any issues Build Quality  Cheap plastic ,3
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Speed of the phone while browsing is too slow Please go for 8GB ramp,3
